t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,mu,J2,J3
124330.0,4718.594868755348,-7117.649504271144,-5139.621000901972,3.905763702173349,4.349957836660113,-2.423168479092209,398600.4415,0.0010826269,0.0
124340.0,4757.557286586969,-7074.006981854099,-5163.748955407425,3.886693667973963,4.378517463508738,-2.4024061494287645,398600.4415,0.0010826269,0.0
124350.0,4796.3282198072075,-7030.079741174487,-5187.668800216379,3.867466913859914,4.4069012872756135,-2.3815466860601573,398600.4415,0.0010826269,0.0
124360.0,4834.906105063334,-6985.869546014628,-5211.379568183498,3.84808421141297,4.4351081567758905,-2.360590929375006,398600.4415,0.0010826269,0.0
124370.0,4873.289386753335,-6941.378171637923,-5234.880300590488,3.8285463385795255,4.463136927967708,-2.3395397237114217,398600.4415,0.0010826269,0.0
124380.0,4911.476517090985,-6896.607404719778,-5258.170047187187,3.8088540796386763,4.49098646399943,-2.318393917322259,398600.4415,0.0010826269,0.0
124390.0,4949.465956170882,-6851.559043278532,-5281.247866232621,3.7890082251699853,4.5186556352565885,-2.2971543623401716,398600.4415,0.0010826269,0.0
124400.0,4987.25617203347,-6806.234896606412,-5304.112824536052,3.7690095720209413,4.546143319408519,-2.2758219147424628,398600.4415,0.0010826269,0.0
124410.0,5024.845640730058,-6760.636785200559,-5326.763997498045,3.7488589232741054,4.5734484014547,-2.2543974343157394,398600.4415,0.0010826269,0.0
124420.0,5062.232846387859,-6714.766540694166,-5349.200469151552,3.728557088213944,4.600569773770782,-2.2328817846203597,398600.4415,0.0010826269,0.0
124430.0,5099.416281200908,-6668.626005672631,-5371.421332121563,3.7081048823038354,4.62750633615341,-2.211275832963464,398600.4415,0.0010826269,0.0
124440.0,5136.394445515564,-6622.21703362734,-5393.425687687055,3.6875031271503587,4.654256995865355,-2.1895804503614946,398600.4415,0.0010826269,0.0
124450.0,5173.165847981453,-6575.541489026011,-5415.212645917545,3.666752650456775,4.680820667682063,-2.167796511493566,398600.4415,0.0010826269,0.0
124460.0,5209.729005550171,-6528.601247145407,-5436.781325642093,3.6458542859976393,4.707196273935937,-2.1459248946726284,398600.4415,0.0010826269,0.0
124470.0,5246.082443537622,-6481.398193997332,-5458.130854487254,3.6248088735845996,4.733382744560714,-2.123966481809359,398600.4415,0.0010826269,0.0
124480.0,5282.224695685732,-6433.934226253905,-5479.260368914383,3.6036172590319837,4.759379017135548,-2.1019221583759338,398600.4415,0.0010826269,0.0
124490.0,5318.154304223503,-6386.211251172101,-5500.16901425628,3.582280294122172,4.785184036928768,-2.0797928133696852,398600.4415,0.0010826269,0.0
124500.0,5353.869819927452,-6338.231186517571,-5520.8559447531825,3.5607988365707643,4.810796756941322,-2.05757933927664,398600.4415,0.0010826269,0.0
124510.0,5389.369802181445,-6289.995960487782,-5541.320323588153,3.5391737499915337,4.836216137949907,-2.035282632034943,398600.4415,0.0010826269,0.0
124520.0,5424.65281903595,-6241.507511634497,-5561.561322921863,3.5174059038611616,4.86144114854977,-2.012903590998159,398600.4415,0.0010826269,0.0
124530.0,5459.71744726674,-6192.767788785633,-5581.578123926818,3.4954961734837644,4.8864707651971955,-1.9904431188984584,398600.4415,0.0010826269,0.0
124540.0,5494.562272433062,-6143.77875096651,-5601.369916821025,3.4734454399551975,4.91130397225166,-1.9679021218096797,398600.4415,0.0010826269,0.0
