t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,mu,J2,J3
133730.0,824.7087568561201,-9670.516984584994,-2426.1873134565167,4.885318028104777,1.3586569888745406,-3.7576032240949546,398600.4415,0.0010826269,0.0
133740.0,873.5451898935478,-9656.737929579393,-2463.7147179469575,4.8819361641739665,1.3971448421539256,-3.74785273667233,398600.4415,0.0010826269,0.0
133750.0,922.3468321482972,-9642.574274568116,-2501.143870321836,4.878359894607603,1.4355767436512292,-3.737952864620894,398600.4415,0.0010826269,0.0
133760.0,971.1117402842315,-9628.026586708227,-2538.4732787129433,4.874589364862513,1.4739511644948724,-3.7279040049031456,398600.4415,0.0010826269,0.0
133770.0,1019.8379724580939,-9613.095448429869,-2575.70145525034,4.870624728112488,1.5122665781696905,-3.71770656039463,398600.4415,0.0010826269,0.0
133780.0,1068.5235883966652,-9597.78145741267,-2612.8269161214675,4.866466145241221,1.550521460577488,-3.7073609398671237,398600.4415,0.0010826269,0.0
133790.0,1117.166649473877,-9582.085226561843,-2649.848181630172,4.862113784834909,1.5887142900974958,-3.696867557971569,398600.4415,0.0010826269,0.0
133800.0,1165.765218787871,-9566.007383984059,-2686.7637762556406,4.857567823174535,1.6268435476467291,-3.686226835220757,398600.4415,0.0010826269,0.0
133810.0,1214.3173612380147,-9549.548572963105,-2723.5722287112662,4.852828444227812,1.6649077167402473,-3.6754391979717536,398600.4415,0.0010826269,0.0
133820.0,1262.8211436018669,-9532.709451935405,-2760.2720720034386,4.847895839640791,1.7029052835513154,-3.6645050784080704,398600.4415,0.0010826269,0.0
133830.0,1311.2746346120937,-9515.490694465409,-2796.8618434902783,4.842770208729146,1.740834736971468,-3.653424914521578,398600.4415,0.0010826269,0.0
133840.0,1359.675905033337,-9497.89298922092,-2833.3400849403147,4.837451758469107,1.7786945686704743,-3.642199150094157,398600.4415,0.0010826269,0.0
133850.0,1408.0230277390353,-9479.917039948397,-2869.7053425911236,4.831940703488066,1.8164832731562033,-3.6308282346790928,398600.4415,0.0010826269,0.0
133860.0,1456.314077788192,-9461.563565448274,-2905.9561672079208,4.826237266054834,1.8541993478343959,-3.619312623582203,398600.4415,0.0010826269,0.0
133870.0,1504.5471325020985,-9442.833299550324,-2942.0911141421316,4.820341676069557,1.8918412930683337,-3.6076527778427026,398600.4415,0.0010826269,0.0
133880.0,1552.7202715410085,-9423.726991089143,-2978.108743389933,4.814254171053288,1.9294076122384132,-3.5958491642138015,398600.4415,0.0010826269,0.0
133890.0,1600.8315769807577,-9404.24540387977,-3014.007619650786,4.807974996137215,1.9668968118016203,-3.5839022551430375,398600.4415,0.0010826269,0.0
133900.0,1648.8791333850095,-9384.38931665023,-3049.786312374559,4.801504404053919,2.0043074013483695,-3.571812528754762,398600.4415,0.0010826269,0.0
133910.0,1696.8610278621038,-9364.159522787882,-3085.443395762245,4.794842655138588,2.0416378936478212,-3.559580468842906,398600.4415,0.0010826269,0.0
133920.0,1744.7753501785617,-9343.556830671943,-3120.977448919492,4.787990017297766,2.078886804727718,-3.547206564830765,398600.4415,0.0010826269,0.0
133930.0,1792.6201928188952,-9322.582063530552,-3156.3870558798258,4.780946766003904,2.116052653927084,-3.534691311756945,398600.4415,0.0010826269,0.0
133940.0,1840.3936510580577,-9301.236059374041,-3191.670805652076,4.773713184285238,2.1531339639526337,-3.522035210256785,398600.4415,0.0010826269,0.0
133950.0,1888.0938230376796,-9279.5196709637,-3226.827292277341,4.766289562713365,2.190129260937086,-3.5092387665415483,398600.4415,0.0010826269,0.0
133960.0,1935.7188098420447,-9257.43376577943,-3261.8551148855404,4.758676199390586,2.2270370744973005,-3.49630249237744,398600.4415,0.0010826269,0.0
133970.0,1983.266715573813,-9234.979225986386,-3296.7528777515727,4.7508733999369595,2.2638559377922247,-3.48322690506444,398600.4415,0.0010826269,0.0
133980.0,2030.7356474294972,-9212.156948400601,-3331.5191903510918,4.742881477477109,2.300584387580663,-3.4700125274149474,398600.4415,0.0010826269,0.0
133990.0,2078.123715774705,-9188.967844453677,-3366.1526674159104,4.734700752626758,2.3372209642788557,-3.4566598877322465,398600.4415,0.0010826269,0.0
134000.0,2125.429034219147,-9165.412840156527,-3400.6519289890552,4.726331553478994,2.37376421201788,-3.4431695197887806,398600.4415,0.0010826269,0.0
134010.0,2172.6497196914283,-9141.492876062279,-3435.015600479473,4.717774215590271,2.41021267870086,-3.4295419628042394,398600.4415,0.0010826269,0.0
134020.0,2219.783892513623,-9117.208907228318,-3469.2423127164175,4.709029081966131,2.4465649160599985,-3.4157777614234566,398600.4415,0.0010826269,0.0
134030.0,2266.8296764756424,-9092.561903177537,-3503.3307020035145,4.700096503046655,2.482819479713418,-3.4018774656941138,398600.4415,0.0010826269,0.0
134040.0,2313.7851989094097,-9067.552847858846,-3537.2794101725353,4.690976836691646,2.5189749292218213,-3.387841631044254,398600.4415,0.0010826269,0.0
134050.0,2360.648590762836,-9042.182739606951,-3571.0870846368753,4.681670448165517,2.5550298281449626,-3.3736708182595985,398600.4415,0.0010826269,0.0
134060.0,2407.4179866736254,-9016.452591101466,-3604.752378444768,4.6721777101219235,2.5909827440979374,-3.3593655934606694,398600.4415,0.0010826269,0.0
134070.0,2454.091525042892,-8990.363429325393,-3638.2739503322355,4.662499002588091,2.6268322488072817,-3.3449265280797142,398600.4415,0.0010826269,0.0
134080.0,2500.667348108623,-8963.91629552301,-3671.6504647757956,4.652634712948877,2.6625769181668897,-3.33035419883743,398600.4415,0.0010826269,0.0
134090.0,2547.143602018976,-8937.1122451572,-3704.8805920449386,4.642585235930538,2.698215332293742,-3.315649187719487,398600.4415,0.0010826269,0.0
134100.0,2593.518436905423,-8909.952347866265,-3737.963008254385,4.632350973584216,2.7337460755834506,-3.300812081952854,398600.4415,0.0010826269,0.0
134110.0,2639.790006955759,-8882.437687420288,-3770.896395416141,4.621932335269131,2.769167736765611,-3.285843473981915,398600.4415,0.0010826269,0.0
134120.0,2685.9564704869695,-8854.569361677042,-3803.6794414913634,4.611329737635487,2.804478908958977,-3.270743961444383,398600.4415,0.0010826269,0.0
134130.0,2732.0159900179706,-8826.348482537509,-3836.3108404420486,4.600543604607085,2.8396781897264383,-3.2555141471470095,398600.4415,0.0010826269,0.0
134140.0,2777.9667323422327,-8797.776175901066,-3868.789292282561,4.589574367363636,2.8747641811298186,-3.240154639041081,398600.4415,0.0010826269,0.0
134150.0,2823.80686860029,-8768.853581620344,-3901.1135031310073,4.57842246432279,2.909735489784481,-3.224666050197711,398600.4415,0.0010826269,0.0
134160.0,2869.534574352145,-8739.581853455817,-3933.2821852604848,4.567088341121852,2.944590726913749,-3.2090489987829156,398600.4415,0.0010826269,0.0
134170.0,2915.14802964958,-8709.962159030174,-3965.2940571501995,4.55557245059921,2.9793285084031362,-3.1933041080324838,398600.4415,0.0010826269,0.0
134180.0,2960.6454191083785,-8679.995679782494,-3997.147843536483,4.543875252775458,3.0139474548543923,-3.1774320062266255,398600.4415,0.0010826269,0.0
134190.0,3006.0249319804657,-8649.68361092227,-4028.8422754637145,4.5319972148342105,3.0484461916393544,-3.1614333266644095,398600.4415,0.0010826269,0.0
134200.0,3051.284762225977,-8619.027161383323,-4060.3760903351613,4.519938811102614,3.082823348953617,-3.1453087076379833,398600.4415,0.0010826269,0.0
134210.0,3096.4231085852625,-8588.02755377766,-4091.7480319637557,4.50770052303156,3.117077561870007,-3.1290587924065716,398600.4415,0.0010826269,0.0
134220.0,3141.438174650833,-8556.686024349292,-4122.956850622815,4.4952828391755695,3.151207470391872,-3.11268422917026,398600.4415,0.0010826269,0.0
134230.0,3186.328168939258,-8525.003822928067,-4154.001303096733,4.482686255172387,3.1852117195061806,-3.096185671043551,398600.4415,0.0010826269,0.0
134240.0,3231.0913049630226,-8492.982212883566,-4184.880152731634,4.469911273722248,3.21908895923643,-3.079563776028702,398600.4415,0.0010826269,0.0
134250.0,3275.7258013023493,-8460.622471079074,-4215.592169486022,4.4569584045668345,3.2528378446953665,-3.0628192069888356,398600.4415,0.0010826269,0.0
134260.0,3320.2298816769976,-8427.925887825706,-4246.136129981438,4.443828164467918,3.286457036137515,-3.045952631620824,398600.4415,0.0010826269,0.0
134270.0,3364.601775016686,-8394.89376683235,-4276.510817551223,4.430521077185988,3.319945199011328,-3.0289647224282374,398600.4415,0.0010826269,0.0
134280.0,3408.83971547055,-8361.527424953754,-4306.715022202637,4.417037673472949,3.353301004001959,-3.0118561567075615,398600.4415,0.0010826269,0.0
134290.0,3452.9419425399187,-8327.828192328505,-4336.747540750902,4.403378491036952,3.3865231270908955,-2.9946276165084313,398600.4415,0.0010826269,0.0
134300.0,3496.9067011603684,-8293.79741238361,-4366.607176887429,4.3895440745163805,3.419610249610535,-2.9772797886023277,398600.4415,0.0010826269,0.0
134310.0,3540.732241744818,-8259.436441698916,-4396.292741190637,4.375534975463366,3.4525610582918054,-2.959813364460351,398600.4415,0.0010826269,0.0
134320.0,3584.4168202537935,-8224.746649955208,-4425.803051174251,4.36135175232102,3.4853742453151635,-2.942229040225235,398600.4415,0.0010826269,0.0
134330.0,3627.9586982652404,-8189.729419881405,-4455.136931335071,4.346994970400461,3.51804850836134,-2.9245275166832276,398600.4415,0.0010826269,0.0
134340.0,3671.3561430439017,-8154.386147200839,-4484.293213200204,4.332465201857622,3.550582550661846,-2.906709499235834,398600.4415,0.0010826269,0.0
134350.0,3714.607427610272,-8118.718240576679,-4513.270735373808,4.317763025669828,3.58297508104923,-2.888775697871419,398600.4415,0.0010826269,0.0
134360.0,3757.7108308091456,-8082.727121556533,-4542.068343583342,4.302889027612151,3.615224814007094,-2.8707268271366715,398600.4415,0.0010826269,0.0
134370.0,3800.664637377772,-8046.414224516256,-4570.684890725351,4.287843800233543,3.6473304697198614,-2.852563606107926,398600.4415,0.0010826269,0.0
