t_s,dx_km,dy_km,dz_km,dvx_km_s,dvy_km_s,dvz_km_s
75980.0,141.93011694513825,1236.1738711843168,90.07927734760415,-0.596704301970381,0.07452814311665001,0.505321119291432
75990.0,135.95851644001323,1236.8945498272599,95.1321206548455,-0.5976118418534019,0.06960661499220233,0.5052441071784447
76000.0,129.9779600371976,1237.5659844118693,100.18409020153922,-0.5984954765964183,0.06467936512027261,0.505146368772197
76010.0,123.98868707014117,1238.188118727075,105.23497866095204,-0.5993551480092139,0.059746594861276314,0.5050278898604166
76020.0,117.99093745125901,1238.7608985780453,110.28457856710611,-0.6001907988720678,0.05480850610994459,0.5048886571237058
76030.0,111.98495166055545,1239.2842717915264,115.33268232508817,-0.6010023729408022,0.049865301286913244,0.5047286581382908
76040.0,105.97097073483019,1239.758188221092,120.37908222085844,-0.6017898149518331,0.044917183330165145,0.5045478813787594
76050.0,99.94923625747288,1240.1825997522913,125.42357043054744,-0.6025530706272344,0.039964355686391784,0.5043463162207868
76060.0,93.91999034886703,1240.557460307697,130.46593902926816,-0.6032920866798047,0.03500702230222341,0.5041239529438462
76070.0,87.88347565735694,1240.8827258518613,135.5059799994051,-0.6040068108181473,0.030045387615354358,0.5038807827339103
76080.0,81.83993535084028,1241.1583543961665,140.54348523841145,-0.6046971917517527,0.02507965654554667,0.5036167976861372
76090.0,75.78961310893192,1241.3843060035765,145.57824656608318,-0.6053631791960906,0.02011003448552451,0.5033319908075427
76100.0,69.73275311574434,1241.560542793291,150.61005573133662,-0.6060047238777089,0.015136727291760188,0.50302635601966
76110.0,63.66960005326564,1241.6870289452886,155.63870441846575,-0.6066217775393372,0.010159941275129647,0.502699888161185
76120.0,57.60039909532679,1241.7637307047798,160.66398425289117,-0.6072142929449987,0.0051798831914737775,0.5023525829906071
76130.0,51.52539590219749,1241.7906163865437,165.6856868063851,-0.6077822238851256,0.00019676023202563897,0.5019844371888247
76140.0,45.44483660413516,1241.7676563788455,170.7036036113177,-0.6083255251808919,-0.004789219985393167,0.5015954483612419
76150.0,39.35896762920038,1241.6948231458707,175.71752630288938,-0.6088441526775926,-0.009777849413593387,0.5011856150327806
76160.0,33.26803590009058,1241.5720912403835,180.7272464592088,-0.6093380632629185,-0.014768919600700592,0.5007549366588053
76170.0,27.1722888028562,1241.3994373012542,185.7325556266842,-0.609807214870721,-0.019762221697900095,0.500303413626929
76180.0,21.07197413441645,1241.1768400560425,190.73324536372184,-0.6102515664827538,-0.0247575464658345,0.4998310472573805
76190.0,14.967340094750398,1240.9042803254667,195.7291072479411,-0.6106710781333199,-0.029754684284393207,0.4993378398051921
76200.0,8.858635278495967,1240.5817410276609,200.71993288386057,-0.6110657109138347,-0.03475342516251967,0.4988237944623185
76210.0,2.746108665931388,1240.2092071822328,205.70551391103072,-0.6114354269773081,-0.03975355874802222,0.4982889153596881
76220.0,-3.3699903866327077,1239.7866659141237,210.6856420126487,-0.6117801895427429,-0.04475487433739822,0.4977332075691798
76230.0,-9.489412157073275,1239.3141064572874,215.66010892462418,-0.6120999628994459,-0.049757160885670615,0.4971566771055306
76240.0,-15.611906568254199,1238.7915201581932,220.6287064451053,-0.6123947124112565,-0.054760207016220974,0.49655933092817106
76250.0,-21.737223199434084,1238.2189004791646,225.59122644447598,-0.6126644045206872,-0.05976380103065271,0.4959411769429851
76260.0,-27.86511129824521,1237.5962430015593,230.5474608757977,-0.6129090067529763,-0.06476773091864718,0.49530222400399826
76270.0,-33.99531979328094,1236.9235454288018,235.49720178571897,-0.6131284877200532,-0.06977178436784559,0.49464248191498916
76280.0,-40.127597307245196,1236.2008075892827,240.44024132584127,-0.6133228171244147,-0.07477574877373172,0.4939619614310271
76290.0,-46.261692170695824,1235.4280314391203,245.37637176453518,-0.6134919657629091,-0.07977941124953247,0.4932606742599305
76300.0,-52.39735243636096,1234.6052210648122,250.30538549922312,-0.6136359055304309,-0.08478255863613082,0.49253863306365075
76310.0,-58.53432589402564,1233.7323826857669,255.22707506910228,-0.6137546094235239,-0.08978497751198677,0.49179585145957627
76320.0,-64.67236008599866,1232.8095246567423,260.1412331683341,-0.6138480515438893,-0.09478645420308052,0.49103234402175766
76330.0,-70.81120232314152,1231.8366574701877,265.04765265968035,-0.6139162071018034,-0.09978677479286002,0.4902481262820533
76340.0,-76.95059964932352,1230.8137937600225,269.94612654589764,-0.6139590524228158,-0.10478572513561701,0.4894432147334109
76350.0,-83.09029874785301,1229.7409483026713,274.836447892887,-0.6139765649587077,-0.10978309087374605,0.48861762683600296
76360.0,-89.23004618863615,1228.6181380126718,279.7184100325776,-0.613968723275858,-0.1147786574329972,0.487771381008431
76370.0,-95.36958833815606,1227.445381952285,284.59180649042446,-0.6139355070648126,-0.11977221003965166,0.4869044966327305
76380.0,-101.50867136281158,1226.2227013332122,289.4564309884836,-0.6138768971442892,-0.12476353373156801,0.48601699405582055
76390.0,-107.64704124211858,1224.9501195178964,294.3120774565532,-0.6137928754645017,-0.12975241336862364,0.48510889459048756
76400.0,-113.78444378128734,1223.6276620209064,299.15854004279663,-0.6136834251104596,-0.13473863364328942,0.484180220516333
76410.0,-119.92062462318336,1222.2553565103979,303.99561312388596,-0.6135485303052467,-0.1397219790912887,0.48323099508068457
76420.0,-126.05532925967236,1220.8332328096449,308.823091314639,-0.6133881764132726,-0.14470223410238248,0.48226124249946434
76430.0,-132.18830304231506,1219.3613228986485,313.64076947715057,-0.6132023499435043,-0.1496791829312496,0.4812709879580266
76440.0,-138.31929119247434,1217.8396609158294,318.4484427294219,-0.6129910385526709,-0.15465260970848416,0.4802602576119537
76450.0,-144.44803881075404,1216.268283159778,323.24590645349053,-0.6127542310484473,-0.15962229845168707,0.4792290785878115
76460.0,-150.57429088583285,1214.6472280910968,328.0329563030373,-0.6124919173926097,-0.16458803307668646,0.47817747898387264
76470.0,-156.69779230265522,1212.976536334302,332.80938821050586,-0.6122040887041702,-0.16954959740884412,0.4771054878707961
76480.0,-162.81828784998925,1211.2562506798063,337.5749983936903,-0.6118907372624856,-0.17450677519448732,0.4760131352922705
76490.0,-168.93552222734706,1209.4864160859763,342.3295833618258,-0.6115518565103407,-0.17945935011243197,0.47490045226561906
76500.0,-175.04924005126213,1207.6670796812525,347.0729399211532,-0.6111874410570065,-0.18440710578563113,0.47376747078236336
76510.0,-181.15918596242682,1205.7982907349437,351.8048652583175,-0.6107974866755868,-0.18934982578351356,0.47261422380564255
76520.0,-187.2651046537021,1203.8801006574352,356.52515696350656,-0.6103819903041631,-0.19428729363146235,0.47144074526956414
76530.0,-193.3667406891018,1201.9125630575054,361.2336128909974,-0.6099409500593347,-0.19921929283973672,0.4702470700855028
76540.0,-199.46383862351468,1199.8957337059123,365.930031251708,-0.6094743652329863,-0.20414560690483619,0.4690332341392083
76550.0,-205.55614301290734,1197.8296705365246,370.61421062182944,-0.608982236294747,-0.20906601932098923,0.46779927429089874
76560.0,-211.64339842391564,1195.7144336474548,375.28594995096137,-0.6084645648944194,-0.21398031359174308,0.46654522837531576
76570.0,-217.7253494439965,1193.5500853018066,379.94504857063475,-0.6079213538643161,-0.21888827324152516,0.4652711352017045
76580.0,-223.8017406921199,1191.3366899280613,384.5913062032241,-0.6073526072215025,-0.22378968182719294,0.46397703455372197
76590.0,-229.87231683002665,1189.0743141201,389.22452297126256,-0.6067583301699441,-0.2286843229495501,0.462662967189269
76600.0,-235.93682257402816,1186.7630266368847,393.84449940714967,-0.6061385291025576,-0.23357198026485104,0.4613289748402458
76610.0,-241.99500270736553,1184.4028984017873,398.45103646325515,-0.6054932116031657,-0.23845243749628064,0.45997510021223276
76620.0,-248.04660209310896,1181.9940025015953,403.04393552242436,-0.6048223864483543,-0.24332547844541175,0.4586013869840926
76630.0,-254.09136568761915,1179.5364141851924,407.6229984088759,-0.6041260636092297,-0.2481908870036449,0.4572078798074959
76640.0,-260.12903855454897,1177.0302108619267,412.1880273995057,-0.6034042542530785,-0.2530484471636161,0.45579462430636775
76650.0,-266.1593658793945,1174.4754720996684,416.7388252355913,-0.6026569707449234,-0.25789794303059654,0.45436166707625203
76660.0,-272.1820929846008,1171.8722796225798,421.2751951348928,-0.6018842266489812,-0.262739158833857,0.4529090556836015
76670.0,-278.19696534520335,1169.2207173085922,425.79694080415993,-0.6010860367300157,-0.2675718789380195,0.4514368386649834
76680.0,-284.2037286050263,1166.5208711866103,430.30386645204453,-0.6002624169545877,-0.2723958878543771,0.4499450655261996
