station,t,rho_km,rho_dot_km_s,elev_rad
Station 2,89360.0,5173.190971905971,-3.158599438674714,0.5124719239668966
Station 2,89370.0,5141.695140583716,-3.1404936696750076,0.5216239165731174
Station 2,89380.0,5110.3825744976075,-3.1219451381212697,0.5308484494060495
Station 2,89390.0,5079.2577392184985,-3.102946243910059,0.5401462082529546
Station 2,89400.0,5048.325176640544,-3.083489322814517,0.549517860265552
Station 2,89410.0,5017.589505592374,-3.063566652533543,0.5589640517846122
Station 2,89420.0,4987.055422385208,-3.0431704593001667,0.5684854060180522
Station 2,89430.0,4956.727701292233,-3.0222929250769113,0.5780825205634801
Station 2,89440.0,4926.611194953261,-3.000926195366238,0.5877559647654794
Station 2,89450.0,4896.710834698454,-2.9790623876642717,0.5975062768972843
Station 2,89460.0,4867.031630784574,-2.956693600586052,0.6073339611557068
Station 2,89470.0,4837.578672536978,-2.9338119236904006,0.6172394844573691
Station 2,89480.0,4808.357128390196,-2.910409448032096,0.6272232730233992
Station 2,89490.0,4779.372245819853,-2.886478277468612,0.6372857087386881
Station 2,89500.0,4750.629351158215,-2.8620105407478476,0.6474271252707379
Station 2,89510.0,4722.133849285506,-2.8369984044022574,0.6576478039318582
Station 2,89520.0,4693.8912231888635,-2.8114340864735583,0.6679479692670697
Station 2,89530.0,4665.907033380573,-2.7853098710906092,0.6783277843485332
Station 2,89540.0,4638.186917166972,-2.7586181239211323,0.688787345755555
Station 2,89550.0,4610.7365876575195,-2.731351308560274,0.6993266782073386
Station 2,89560.0,4583.561832610532,-2.7035020038109403,0.7099457288361827
Station 2,89570.0,4556.668513487173,-2.675062921727782,0.7206443611062726
Station 2,89580.0,4530.06256387969,-2.646026926792709,0.7314223482675383
Station 2,89590.0,4503.749987884493,-2.6163870559543065,0.742279366370862
Station 2,89600.0,4477.736858275538,-2.586136539601745,0.7532149867924077
Station 2,89610.0,4452.0293144629495,-2.555268823472297,0.7642286682250559
Station 2,89620.0,4426.633560227569,-2.5237775914835674,0.7753197480908527
Station 2,89630.0,4401.5558612223,-2.4916567894757846,0.7864874333229871
Station 2,89640.0,4376.802542231237,-2.4589006498432475,0.7977307904597128
Station 2,89650.0,4352.3799841778655,-2.4255037170271723,0.8090487349856677
Station 2,89660.0,4328.294620873921,-2.391460873834949,0.8204400198480531
Station 2,89670.0,4304.552935500829,-2.3567673685429407,0.8319032230660809
Station 2,89680.0,4281.1614568162295,-2.3214188427317253,0.8434367343416679
Station 2,89690.0,4258.12675507854,-2.2854113597938714,0.8550387405675401
Station 2,89700.0,4235.4554376832275,-2.2487414340451752,0.8667072101153309
Station 2,89710.0,4213.154144505169,-2.211406060360701,0.8784398757708173
Station 2,89720.0,4191.229542942306,-2.173402744247006,0.890234216165838
Station 2,89730.0,4169.688322656813,-2.1347295322518343,0.9020874355363314
Station 2,89740.0,4148.537190010882,-2.0953850426018747,0.9139964416131975
Station 2,89750.0,4127.782862195596,-2.055368495949079,0.9259578214267429
Station 2,89760.0,4107.432061052399,-2.0146797460949797,0.9379678147762839
Station 2,89770.0,4087.491506588172,-1.9733193105523057,0.9500222850834709
Station 2,89780.0,4067.967910186316,-1.9312884007926832,0.9621166873109298
Station 2,89790.0,4048.867967517835,-1.8885889520193344,0.9742460325865563
Station 2,89800.0,4030.198351158051,-1.8452236522941048,0.9864048491281403
Station 2,89810.0,4011.9657029163623,-1.8011959708392415,0.9985871390129529
Station 2,89820.0,3994.1766258882735,-1.756510185326297,1.0107863302827425
Station 2,89830.0,3976.83767624082,-1.711171407957028,1.0229952238170745
Station 2,89840.0,3959.955354744553,-1.6651856101355083,1.0352059343481341
Station 2,89850.0,3943.5360980672144,-1.6185596455253606,1.0474098249304125
Station 2,89860.0,3927.5862698463593,-1.5713012712828531,1.05959743412221
Station 2,89870.0,3912.112151560258,-1.5234191672547701,1.0717583950876657
Station 2,89880.0,3897.1199332185156,-1.4749229529298236,1.0838813457955225
Station 2,89890.0,3882.615703895992,-1.4258232019343677,1.0959538294843438
Station 2,89900.0,3868.605442135616,-1.376131453866972,1.107962184598423
Station 2,89910.0,3855.0950062444062,-1.325860223273109,1.1198914234942057
Station 2,89920.0,3842.090124312125,-1.2750230055908869,1.131725099391862
Station 2,89930.0,3829.596384566561,-1.223634279791149,1.1434451614015517
Station 2,89940.0,3817.619225609928,-1.1717095076685795,1.155031797872205
Station 2,89950.0,3806.1639265203626,-1.1192651295920293,1.1664632690696422
Station 2,89960.0,3795.2355971055613,-1.066318556550674,1.1777157312360358
Station 2,89970.0,3784.8391682544056,-1.0128881584006817,1.1887630555041202
Station 2,89980.0,3774.979382425093,-0.9589932482206986,1.1995766470925386
Station 2,89990.0,3765.6607843090565,-0.9046540627090575,1.2101252727674978
Station 2,90000.0,3756.8877117104976,-0.8498917385818229,1.2203749078145383
Station 2,90010.0,3748.6642866816583,-0.7947282849588754,1.230288617763103
Station 2,90020.0,3740.994406953912,-0.7391865517546792,1.2398264947883297
Station 2,90030.0,3733.8817377044597,-0.6832901941208852,1.2489456738526918
Station 2,90040.0,3727.329703697776,-0.6270636330193,1.2576004587575254
Station 2,90050.0,3721.341481840016,-0.5705320120355151,1.2657425925034609
Station 2,90060.0,3715.919994183338,-0.5137211505753264,1.2733217084223976
Station 2,90070.0,3711.0679014155126,-0.4566574936175032,1.280285996713476
Station 2,90080.0,3706.7875968682833,-0.3993680582272623,1.2865831132750316
Station 2,90090.0,3703.081201075808,-0.3418803770641027,1.2921613421676152
Station 2,90100.0,3699.9505569119583,-0.28422243914593404,1.2969709985683433
Station 2,90110.0,3697.3972253325633,-0.22642262815702285,1.3009660263148348
Station 2,90120.0,3695.422481745665,-0.16850965861104572,1.3041057063540957
Station 2,90130.0,3694.0273130296314,-0.11051251020131947,1.306356355913739
Station 2,90140.0,3693.2124152155525,-0.05246036068807236,1.30769287169094
Station 2,90150.0,3692.978191846818,0.0056174823128615214,1.3080999628517724
Station 2,90160.0,3693.3247530249882,0.06369165026453005,1.307572937445256
Station 2,90170.0,3694.2519151473593,0.12173278298413326,1.3061179494636144
Station 2,90180.0,3695.759201337724,0.17971159787282576,1.303751676494342
Station 2,90190.0,3697.845842567985,0.23759895871461656,1.3005004670479003
Station 2,90200.0,3700.51077946443,0.2953659436630963,1.2963990574549304
Station 2,90210.0,3703.7526647887134,0.35298391204276613,1.2914889986561904
Station 2,90220.0,3707.5698665798923,0.4104245696036616,1.2858169474775925
Station 2,90230.0,3711.9604719403355,0.46766003188311933,1.2794329664945874
Station 2,90240.0,3716.9222914449488,0.5246628853471208,1.272388948197317
Station 2,90250.0,3722.452864149968,0.581406246005129,1.2647372420308052
Station 2,90260.0,3728.5494631746533,0.6378638152164124,1.2565295254653503
Station 2,90270.0,3735.2091018265096,0.6940099324324321,1.2478159284635726
Station 2,90280.0,3742.4285401646553,0.7498196246814312,1.2386443974236832
Station 2,90290.0,3750.2042919820074,0.8052686526126206,1.229060270252519
Station 2,90300.0,3758.532632660267,0.8603335526789792,1.2191060274260248
Station 2,90310.0,3767.4096069886714,0.9149916757113717,1.2088211825928883
Station 2,90320.0,3776.8310374758025,0.9692212215601725,1.1982422788214384
Station 2,90330.0,3786.792532999135,1.023001269768958,1.1874029609570689
Station 2,90340.0,3797.2894977408127,1.0763118062450523,1.1763340997166443
Station 2,90350.0,3808.3171403695815,1.1291337459173114,1.1650639482476355
Station 2,90360.0,3819.870483428873,1.1814489514005988,1.1536183164804463
Station 2,90370.0,3831.9443728913493,1.2332402477141082,1.1420207525044401
Station 2,90380.0,3844.5334878408557,1.284491433126537,1.1302927233607507
Station 2,90390.0,3857.63235024353,1.3351872862251724,1.1184537901172351
Station 2,90400.0,3871.235334770957,1.3853135693277157,1.1065217739650108
Station 2,90410.0,3885.336678639508,1.4348570283753745,1.0945129114567882
Station 2,90420.0,3899.9304914314725,1.4838053894628958,1.0824419979961988
Station 2,90430.0,3915.0107648652734,1.5321473521764117,1.0703225193738972
Station 2,90440.0,3930.5713824837767,1.5798725799220081,1.0581667716054746
Station 2,90450.0,3946.6061292315817,1.6269716874385183,1.0459859696177845
Station 2,90460.0,3963.108700894232,1.6734362256955377,1.0337903455014397
Station 2,90470.0,3980.072713374221,1.7192586643833614,1.0215892371333959
Station 2,90480.0,3997.4917117808304,1.764432372204866,1.0093911680014873
Station 2,90490.0,4015.3591793129,1.8089515951808288,0.9972039190520916
Station 2,90500.0,4033.6685459157793,1.8528114331796495,0.9850345933468905
Station 2,90510.0,4052.4131966957366,1.8960078148801567,0.9728896742650197
Station 2,90520.0,4071.5864800773024,1.9385374713726358,0.9607750779296527
Station 2,90530.0,4091.181715690878,1.9803979085976784,0.9486962004782153
Station 2,90540.0,4111.192201980037,2.02158737881639,0.9366579607357539
Station 2,90550.0,4131.611223519787,2.062104851297828,0.9246648387938464
Station 2,90560.0,4152.4320580388785,2.1019499824012624,0.9127209109437665
Station 2,90570.0,4173.647983140989,2.1411230852217416,0.9008298813631093
Station 2,90580.0,4195.2522827212215,2.1796250989578465,0.8889951109100229
Station 2,90590.0,4217.238253075932,2.2174575581503415,0.8772196433384849
Station 2,90600.0,4239.599208705279,2.2546225619301574,0.8655062292116227
Station 2,90610.0,4262.328487809275,2.291122743403532,0.8538573477576182
Station 2,90620.0,4285.419457479301,2.3269612392916055,0.8422752268839292
Station 2,90630.0,4308.865518588174,2.3621416599311837,0.8307618615401223
Station 2,90640.0,4332.660110365351,2.3966680597475802,0.8193190305947867
Station 2,90650.0,4356.796714515364,2.430544908416756,0.8079483123529653
Station 2,90660.0,4381.268859474971,2.463777062298908,0.7966510989265921
Station 2,90670.0,4406.070124094893,2.4963697367809656,0.7854286094793302
Station 2,90680.0,4431.194141055135,2.52832847937227,0.7742819024833629
Station 2,90690.0,4456.63460005754,2.5596591435610145,0.7632118870856511
Station 2,90700.0,4482.385250760506,2.5903678635063687,0.7522193336584857
Station 2,90710.0,4508.439905464459,2.6204610295995785,0.7413048836058197
Station 2,90720.0,4534.792441556954,2.649945264920103,0.730469058489049
Station 2,90730.0,4561.436803726504,2.678827402606199,0.7197122685290513
Station 2,90740.0,4588.3670059543965,2.7071144641531717,0.7090348205352799
Station 2,90750.0,4615.577133293862,2.7348136386468394,0.6984369253074368
Station 2,90760.0,4643.061343446035,2.7619322629346317,0.687918704550626
Station 2,90770.0,4670.813868142043,2.788477802732008,0.6774801973408219
Station 2,90780.0,4698.829014340741,2.8144578346577753,0.6671213661738714
Station 2,90790.0,4727.101165251195,2.839880029188,0.6568421026281632
Station 2,90800.0,4755.624781189211,2.8647521345150153,0.6466422326682433
Station 2,90810.0,4784.394400276862,2.889081961295026,0.636521521614225
Station 2,90820.0,4813.404638993867,2.912877368265362,0.6264796787996608
Station 2,90830.0,4842.650192589427,2.936146248710191,0.6165163619385964
Station 2,90840.0,4872.125835362964,2.958896517751754,0.6066311812208051
Station 2,90850.0,4901.826420821858,2.9811361004425745,0.5968237031526855
Station 2,90860.0,4931.746881724226,3.0028729206330453,0.5870934541598698
Station 2,90870.0,4961.882230014241,3.0241148905875925,0.5774399239664563
Station 2,90880.0,4992.227556657468,3.0448699013221305,0.5678625687645761
Station 2,90890.0,5022.778031383296,3.065145813634895,0.558360814187068
Station 2,90900.0,5053.5289023412715,3.084950449802467,0.5489340580951075
Station 2,90910.0,5084.475495677874,3.104291585912719,0.5395816731918297
Station 2,90920.0,5115.613215039987,3.123176944806408,0.530303009472238
Station 2,90930.0,5146.937541011013,3.141614189599344,0.521097396519013
Station 2,90940.0,5178.444030485345,3.15961091775735,0.511964145653225
Station 2,90950.0,5210.128315986556,3.1771746556966844,0.5029025519483731
Station 2,90960.0,5241.986104934496,3.1943128538830163,0.49391189611566316
Station 2,90970.0,5274.013178866103,3.211032882402721,0.48499144626795443
Station 2,90980.0,5306.205392614577,3.2273420269808444,0.47614045956935014
Station 2,90990.0,5338.558673451245,3.243247485420827,0.4673581837770115
Station 2,91000.0,5371.069020191849,3.25875636444388,0.4586438586810191
Station 2,91010.0,5403.732502128155,3.2738756770351296,0.44999671742532055
Station 2,91020.0,5436.545258213101,3.288612339901691,0.4414159877801855
Station 2,91030.0,5469.503496134316,3.3029731713207564,0.4329008933191899
Station 2,91040.0,5502.603491255344,3.3169648894051473,0.42445065449705166
Station 2,91050.0,5535.841585608885,3.3305941106004293,0.4160644896619223
Station 2,91060.0,5569.214186875894,3.3438673484526125,0.40774161599635456
Station 2,91070.0,5602.71776735314,3.3567910126281606,0.39948125039106985
Station 2,91080.0,5636.348862911739,3.3693714081687585,0.39128261025543004
Station 2,91090.0,5670.104071948959,3.381614734964197,0.3831449142683031
Station 2,91100.0,5703.980054335466,3.3935270874274632,0.37506738307281
Station 2,91110.0,5737.973530359933,3.405114454356995,0.3670492399182627
Station 2,91120.0,5772.081279672995,3.4163827189717573,0.35908971125239003
Station 2,91130.0,5806.300140232077,3.427337659105589,0.3511880272668378
Station 2,91140.0,5840.627007248797,3.4379849475480047,0.3433434223987088
Station 2,91150.0,5875.058832140326,3.4483301525193024,0.335555135790795
Station 2,91160.0,5909.592621486048,3.4583787382685545,0.327822411712996
Station 2,91170.0,5944.22543599073,3.46813606578368,0.32014449994728883
Station 2,91180.0,5978.954389455297,3.4776073936034653,0.31252065613847524
Station 2,91190.0,6013.776647756236,3.4867978787219567,0.30495014211282445
Station 2,91200.0,6048.689427834498,3.4957125775762696,0.2974322261666084
Station 2,91210.0,6083.6899966948195,3.504356447109431,0.2899661833263946
Station 2,91220.0,6118.775670416069,3.512734345900315,0.28255129558290976
Station 2,91230.0,6153.943813173378,3.520851035353361,0.275186852100134
Station 2,91240.0,6189.191836272618,3.5287111809411313,0.2678721494012224
Station 2,91250.0,6224.517197197748,3.5363193534933126,0.26060649153275395
Station 2,91260.0,6259.91739867146,3.5436800305261453,0.25338919020872885
Station 2,91270.0,6295.389987729591,3.5507975976066883,0.24621956493564448
Station 2,91280.0,6330.932554809564,3.5576763497467465,0.23909694311991792
Station 2,91290.0,6366.542732853196,3.56432049282163,0.23202066015884432
Station 2,91300.0,6402.218196424119,3.570734145009262,0.22499005951621082
Station 2,91310.0,6437.956660839984,3.576921338245497,0.21800449278362813
Station 2,91320.0,6473.755881319629,3.582886019691848,0.21106331972857656
Station 2,91330.0,6509.613652145325,3.588632053212033,0.20416590833010492
Station 2,91340.0,6545.52780584017,3.594163220854121,0.19731163480307196
Station 2,91350.0,6581.496212360701,3.5994832243352772,0.190499883611759
Station 2,91360.0,6617.51677830474,3.6045956865263213,0.18373004747364438
