t,rho,rhodot,elev_deg,station_id,sc_lat_deg,sc_lon_deg,sc_alt_m
9.60300000000000000e+04,6.17828354432740434e+03,3.53128891505471199e+00,1.55657479609585465e+01,1,-3.96296672246933355e+01,1.95232652642688464e+02,3.62191605520070152e+03
9.60400000000000000e+04,6.21363491815303041e+03,3.53859951117653626e+00,1.51460850540553924e+01,1,-3.95918297235938539e+01,1.95657893470435397e+02,3.62187758746007239e+03
9.60500000000000000e+04,6.24905527708278441e+03,3.54566822026868200e+00,1.47292871233674081e+01,1,-3.95521238705244258e+01,1.96082615580617158e+02,3.62183905773122751e+03
9.60600000000000000e+04,6.28454482934959105e+03,3.55249920392737861e+00,1.43153119968522660e+01,1,-3.95105543883010171e+01,1.96506795230881750e+02,3.62180046737032353e+03
9.60700000000000000e+04,6.32010434258552141e+03,3.55909833430703060e+00,1.39041180826872512e+01,1,-3.94671262080654941e+01,1.96930408935107153e+02,3.62176181772758900e+03
9.60800000000000000e+04,6.35572611814289212e+03,3.56546684218071830e+00,1.34956643687314433e+01,1,-3.94218444666506755e+01,1.97353433473196844e+02,3.62172311014732077e+03
9.60900000000000000e+04,6.39141377854363509e+03,3.57161155561773302e+00,1.30899104213883728e+01,1,-3.93747145038515782e+01,1.97775845900591918e+02,3.62168434596784755e+03
9.61000000000000000e+04,6.42715987767059596e+03,3.57753399240321945e+00,1.26868163839163728e+01,1,-3.93257418596066302e+01,1.98197623557491312e+02,3.62164552652151724e+03
9.61100000000000000e+04,6.46296291515078610e+03,3.58323908961195325e+00,1.22863429742277450e+01,1,-3.92749322710922826e+01,1.98618744077773414e+02,3.62160665313466961e+03
9.61200000000000000e+04,6.49882501462431446e+03,3.58873288849466121e+00,1.18884514822171425e+01,1,-3.92222916697343038e+01,1.99039185397612158e+02,3.62156772712762722e+03
9.61300000000000000e+04,6.53473727986095855e+03,3.59401517267453352e+00,1.14931037666571019e+01,1,-3.91678261781397197e+01,1.99458925763781906e+02,3.62152874981466812e+03
9.61400000000000000e+04,6.57070449345286488e+03,3.59909220633249882e+00,1.11002622516959288e+01,1,-3.91115421069528182e+01,1.99877943741644913e+02,3.62148972250401494e+03
9.61500000000000000e+04,6.60672038048511422e+03,3.60396510422912941e+00,1.07098899229916338e+01,1,-3.90534459516390484e+01,2.00296218222816918e+02,3.62145064649783490e+03
9.61600000000000000e+04,6.64277992224532500e+03,3.60864236553095452e+00,1.03219503235129402e+01,1,-3.89935443892005580e+01,2.00713728432506571e+02,3.62141152309219797e+03
9.83700000000000000e+04,6.65744137357402815e+03,-8.56193120471857139e-01,1.00567575541965937e+01,3,1.14137536076185930e+00,2.67669333928553726e+02,3.61348937601600846e+03
9.83800000000000000e+04,6.64899518310887470e+03,-8.32908040974295050e-01,1.01464366153393879e+01,3,1.37427490054010359e+00,2.67905380011688180e+02,3.61346433764604080e+03
9.83900000000000000e+04,6.64078318505048628e+03,-8.09489925524754073e-01,1.02337777513555714e+01,3,1.60714325053409612e+00,2.68141481647523960e+02,3.61343946613598200e+03
9.84000000000000000e+04,6.63280847605648160e+03,-7.85934236607104486e-01,1.03187545498539297e+01,3,1.83997490958921683e+00,2.68377648014216618e+02,3.61341476253620021e+03
9.84100000000000000e+04,6.62506674657135136e+03,-7.62243367566744268e-01,1.04013410276938068e+01,3,2.07276437224653343e+00,2.68613888292528486e+02,3.61339022789906994e+03
9.84200000000000000e+04,6.61756147041745680e+03,-7.38426582428015621e-01,1.04815116543125555e+01,3,2.30550612815024580e+00,2.68850211666167070e+02,3.61336586327892837e+03
9.84300000000000000e+04,6.61029791965655295e+03,-7.14481692513297295e-01,1.05592413749774323e+01,3,2.53819466145498529e+00,2.69086627322120648e+02,3.61334166973198990e+03
9.84400000000000000e+04,6.60327451446866871e+03,-6.90410822857086881e-01,1.06345056339224744e+01,3,2.77082445023290047e+00,2.69323144450992118e+02,3.61331764831635337e+03
9.84500000000000000e+04,6.59648915987122746e+03,-6.66221528214077208e-01,1.07072803973291215e+01,3,3.00338996588057761e+00,2.69559772247328169e+02,3.61329380009186207e+03
9.84600000000000000e+04,6.58994928484742468e+03,-6.41915009159730543e-01,1.07775421761103143e+01,3,3.23588567252572190e+00,2.69796519909945971e+02,3.61327012612011276e+03
9.84700000000000000e+04,6.58365176098101438e+03,-6.17492280074681377e-01,1.08452680484557078e+01,3,3.46830602643362162e+00,2.70033396642255411e+02,3.61324662746438298e+03
9.84800000000000000e+04,6.57759916577589775e+03,-5.92955218569895082e-01,1.09104356820963151e+01,3,3.70064547541339106e+00,2.70270411652577536e+02,3.61322330518953459e+03
9.84900000000000000e+04,6.57179399893214850e+03,-5.68313504810898040e-01,1.09730233562462800e+01,3,3.93289845822393058e+00,2.70507574154458268e+02,3.61320016036198831e+03
9.85000000000000000e+04,6.56623594069176215e+03,-5.43566974107956402e-01,1.10330099831797472e+01,3,4.16505940397965801e+00,2.70744893366976612e+02,3.61317719404965101e+03
9.85100000000000000e+04,6.56092123396104125e+03,-5.18716339003576721e-01,1.10903751293993000e+01,3,4.39712273155595579e+00,2.70982378515049049e+02,3.61315440732184288e+03
9.85200000000000000e+04,6.55585782666176328e+03,-4.93765769691368150e-01,1.11450990363552123e+01,3,4.62908284899434719e+00,2.71220038829726832e+02,3.61313180124923019e+03
9.85300000000000000e+04,6.55104725110527670e+03,-4.68722377954686575e-01,1.11971626406724560e+01,3,4.86093415290739195e+00,2.71457883548487985e+02,3.61310937690377068e+03
9.85400000000000000e+04,6.54648463025255205e+03,-4.43588418150416997e-01,1.12465475938442534e+01,3,5.09267102788328963e+00,2.71695921915523115e+02,3.61308713535862807e+03
9.85500000000000000e+04,6.54217630858522807e+03,-4.18363518828816727e-01,1.12932362813508682e+01,3,5.32428784589020232e+00,2.71934163182014231e+02,3.61306507768811207e+03
9.85600000000000000e+04,6.53811809164067927e+03,-3.93056255353486927e-01,1.13372118411635654e+01,3,5.55577896568028429e+00,2.72172616606406507e+02,3.61304320496758919e+03
9.85700000000000000e+04,6.53431511989005776e+03,-3.67668392389320697e-01,1.13784581815939028e+01,3,5.78713873219340957e+00,2.72411291454672835e+02,3.61302151827343368e+03
9.85800000000000000e+04,6.53076503986235366e+03,-3.42203829904233314e-01,1.14169599984497836e+01,3,6.01836147596063586e+00,2.72650197000570301e+02,3.61300001868294021e+03
9.85900000000000000e+04,6.52747307578467553e+03,-3.16665585516710590e-01,1.14527027914605828e+01,3,6.24944151250737256e+00,2.72889342525888537e+02,3.61297870727423106e+03
9.86000000000000000e+04,6.52443209973840749e+03,-2.91055869902998476e-01,1.14856728799355245e+01,3,6.48037314175624335e+00,2.73128737320689538e+02,3.61295758512621433e+03
9.86100000000000000e+04,6.52164924868510934e+03,-2.65383372026868902e-01,1.15158574176194293e+01,3,6.71115064742976664e+00,2.73368390683538564e+02,3.61293665331845477e+03
9.86200000000000000e+04,6.51912560278815545e+03,-2.39646085290342675e-01,1.15432444067134181e+01,3,6.94176829645265681e+00,2.73608311921724976e+02,3.61291591293114834e+03
