station,t,rho_km,rho_dot_km_s,elev_rad
Station 3,63410.0,6024.270850096083,1.4856739381913844,0.3051961622404622
Station 3,63420.0,6039.254247777728,1.510962501992596,0.3019639698664671
Station 3,63430.0,6054.489235641429,1.5359917295481291,0.2986907683989112
Station 3,63440.0,6069.973212792973,1.560760136197401,0.29537763248596965
Station 3,63450.0,6085.703564145428,1.5852663657404018,0.29202562864524206
Station 3,63460.0,6101.6776616960715,1.6095091882234662,0.2886358145596452
Station 3,63470.0,6117.8928657811975,1.633487497637902,0.28520923841278334
Station 3,63480.0,6134.346526307963,1.6572003095387031,0.281746938263459
Station 3,63490.0,6151.03598392498,1.6806467586072606,0.27824994145382836
Station 3,63500.0,6167.958571054047,1.703826096208702,0.27471926403970953
Station 3,63510.0,6185.111613309944,1.7267376877024057,0.2711559103143178
Station 3,63520.0,6202.492430532289,1.7493810098493132,0.2675608723209722
Station 3,63530.0,6220.098337867405,1.7717556481497905,0.263935129411487
Station 3,63540.0,6237.926646844675,1.793861294133499,0.2602796478426665
Station 3,63550.0,6255.974666425154,1.8156977426165886,0.256595380407129
Station 3,63560.0,6274.239704022234,1.8372648889321899,0.25288326609756406
Station 3,63570.0,6292.719066494054,1.8585627261400612,0.24914422980346063
Station 3,63580.0,6311.410061107617,1.879591342220853,0.24537918203932663
Station 3,63590.0,6330.309996474461,1.9003509172603974,0.24158901870338387
Station 3,63600.0,6349.416183457874,1.9208417206290926,0.2377746208657027
Station 3,63610.0,6368.725936051654,1.94106410816126,0.2339368545847144
Station 3,63620.0,6388.236572230478,1.961018519339102,0.23007657075103818
Station 3,63630.0,6407.945414771997,1.980705474485667,0.22619460495753943
Station 3,63640.0,6427.8497920507825,2.000125571970946,0.22229177739453324
Station 3,63650.0,6447.947038804329,2.0192794854350975,0.21836889276905613
Station 3,63660.0,6468.234496871333,2.038167961032406,0.21442674024711644
Station 3,63670.0,6488.70951590252,2.0567918146994826,0.21046609341785696
Station 3,63680.0,6509.36945404429,2.075151929450932,0.20648771027855561
Station 3,63690.0,6530.211678595535,2.0932492527054762,0.202492333239422
Station 3,63700.0,6551.233566637947,2.111084793645341,0.19848068914714134
Station 3,63710.0,6572.432505640234,2.1286596206114528,0.19445348932615653
Station 3,63720.0,6593.80589403661,2.145974858536831,0.19041142963667665
Station 3,63730.0,6615.351141780006,2.163031686420296,0.18635519054844357
Station 3,63740.0,6637.065670870451,2.179831334842505,0.18228543722929175
Station 3,63750.0,6658.946915859025,2.196375083526026,0.17820281964757326
Station 2,78430.0,6652.528338922414,-2.8574829146093372,0.17646308792767057
Station 2,78440.0,6624.013725897994,-2.845395341420389,0.18177815660299054
Station 2,78450.0,6595.621324836571,-2.8330399978634224,0.18710180587961858
Station 2,78460.0,6567.353828844035,-2.820413799217005,0.1924337020845933
Station 2,78470.0,6539.213961934091,-2.807513650044666,0.19777349394153976
Station 2,78480.0,6511.204479129838,-2.7943364459268376,0.2031208119609652
Station 2,78490.0,6483.3281665480945,-2.7808790752951196,0.2084752678169794
Station 2,78500.0,6455.587841465464,-2.767138421372156,0.21383645371064217
Station 2,78510.0,6427.986352365115,-2.753111364220388,0.21920394172018437
Station 2,78520.0,6400.526578963212,-2.7387947829029904,0.22457728313841702
Station 2,78530.0,6373.211432079631,-2.724185557802599,0.22995600778265637
Station 2,78540.0,6346.043853641095,-2.709280572997069,0.2353396233113947
Station 2,78550.0,6319.026816813275,-2.6940767187229477,0.24072761454477518
Station 2,78560.0,6292.163325809612,-2.6785708940586783,0.2461194427407185
Station 2,78570.0,6265.456415791431,-2.662760009691654,0.2515145448747131
Station 2,78580.0,6238.90915273958,-2.64664099081574,0.25691233290997595
Station 2,78590.0,6212.5246332960705,-2.6302107801619683,0.26231219305880343
Station 2,78600.0,6186.305984574351,-2.613466341164872,0.2677134850360488
Station 2,78610.0,6160.256363936976,-2.5964046612667864,0.273115541305775
Station 2,78620.0,6134.378958739172,-2.5790227553622302,0.2785176663222309
Station 2,78630.0,6108.676986037019,-2.5613176693842816,0.2839191357664255
Station 2,78640.0,6083.153692258775,-2.5432864840346068,0.28931919577968623
Station 2,78650.0,6057.812352837962,-2.5249263186585624,0.2947170621957256
Station 2,78660.0,6032.656271806769,-2.5062343352664733,0.3001119197728727
Station 2,78670.0,6007.688781348347,-2.4872077427019126,0.30550292142826563
Station 2,78680.0,5982.913241306543,-2.4678438009574046,0.31088918747595395
Station 2,78690.0,5958.333038651633,-2.4481398256376825,0.31626980487101025
Station 2,78700.0,5933.951586900618,-2.428093192570161,0.3216438264619183
Station 2,78710.0,5909.772325490638,-2.4077013425618827,0.32701027025366514
Station 2,78720.0,5885.798719104119,-2.3869617863017147,0.3323681186841464
Station 2,78730.0,5862.03425694415,-2.365872109406148,0.33771631791666096
Station 2,78740.0,5838.482451958847,-2.344429977606387,0.3430537771514727
Station 2,78750.0,5815.146840013196,-2.3226331420740243,0.3483793679595903
