t,rho,rhodot,elev_deg,station_id,sc_lat_deg,sc_lon_deg,sc_alt_m
1.22640000000000000e+05,6.15304910044712960e+03,5.17079691375992745e-01,1.58941657295097976e+01,2,1.22863808392639182e+01,3.29689334886156928e+02,3.62368984659242415e+03
1.22650000000000000e+05,6.15835970253152482e+03,5.45561051329401581e-01,1.58311142068638855e+01,2,1.20617065254073967e+01,3.29937571855639362e+02,3.62373083243644942e+03
1.22660000000000000e+05,6.16395816138626469e+03,5.73929036263859937e-01,1.57647453684095709e+01,2,1.18367341837034807e+01,3.30185320715540627e+02,3.62377158742890606e+03
1.22670000000000000e+05,6.16984008920853557e+03,6.02179454967360472e-01,1.56950872292878536e+01,2,1.16114700541698284e+01,3.30432590979819452e+02,3.62381210952899892e+03
1.22680000000000000e+05,6.17600461835807164e+03,6.30305408087934338e-01,1.56221688786243025e+01,2,1.13859203459639531e+01,3.30679392152025059e+02,3.62385239671212730e+03
1.22690000000000000e+05,6.18244574270740850e+03,6.58306357017364507e-01,1.55460204424098727e+01,2,1.11600912379771984e+01,3.30925733725171199e+02,3.62389244697000322e+03
1.22700000000000000e+05,6.18916941348614000e+03,6.86175547979475886e-01,1.54666730454983732e+01,2,1.09339888794295330e+01,3.31171625181632123e+02,3.62393225831084055e+03
1.22710000000000000e+05,6.19616959915905591e+03,7.13909205025678673e-01,1.53841587728128228e+01,2,1.07076193904651564e+01,3.31417075993057665e+02,3.62397182875944418e+03
1.22720000000000000e+05,6.20344757463058977e+03,7.41501598508687798e-01,1.52985106298576294e+01,2,1.04809888627487560e+01,3.31662095620309117e+02,3.62401115635739006e+03
1.22730000000000000e+05,6.21100023402437273e+03,7.68951440007612730e-01,1.52097625026294256e+01,2,1.02541033600623539e+01,3.31906693513413927e+02,3.62405023916313621e+03
1.22740000000000000e+05,6.21882398760757314e+03,7.96254116810559132e-01,1.51179491170217553e+01,2,1.00269689189026678e+01,3.32150879111539325e+02,3.62408907525218820e+03
1.22750000000000000e+05,6.22692309292677692e+03,8.23404448522667254e-01,1.50231059978160744e+01,2,9.79959154907890273e+00,3.32394661842983510e+02,3.62412766271720466e+03
1.22760000000000000e+05,6.23529231845109462e+03,8.50401933962162793e-01,1.49252694273514397e+01,2,9.57197723431091951e+00,3.32638051125185200e+02,3.62416599966813556e+03
1.22770000000000000e+05,6.24393185606316365e+03,8.77235977844367798e-01,1.48244764039636170e+01,2,9.34413193282762400e+00,3.32881056364749213e+02,3.62420408423237677e+03
1.22780000000000000e+05,6.25283621233828944e+03,9.03911329781125872e-01,1.47207646002818180e+01,2,9.11606157796567729e+00,3.33123686957489440e+02,3.62424191455486471e+03
1.22790000000000000e+05,6.26201034799833451e+03,9.30420058773471448e-01,1.46141723214705532e+01,2,8.88777207876831277e+00,3.33365952288486938e+02,3.62427948879823089e+03
1.22800000000000000e+05,6.27144462994313835e+03,9.56757587169575374e-01,1.45047384635006171e+01,2,8.65926932058427212e+00,3.33607861732164054e+02,3.62431680514290747e+03
1.22810000000000000e+05,6.28114162001664954e+03,9.82924926590567960e-01,1.43925024715312926e+01,2,8.43055916566681773e+00,3.33849424652372932e+02,3.62435386178726003e+03
1.22820000000000000e+05,6.29110288922085692e+03,1.00891641019249589e+00,1.42775042984830201e+01,2,8.20164745377276461e+00,3.34090650402498852e+02,3.62439065694769852e+03
1.22830000000000000e+05,6.30132196853617825e+03,1.03472827544159629e+00,1.41597843638769980e+01,2,7.97254000276142261e+00,3.34331548325577273e+02,3.62442718885882459e+03
1.22840000000000000e+05,6.31179591933004940e+03,1.06035688898028724e+00,1.40393835130143767e+01,2,7.74324260919356533e+00,3.34572127754424230e+02,3.62446345577351713e+03
1.22850000000000000e+05,6.32252785918962400e+03,1.08580236567045918e+00,1.39163429765657050e+01,2,7.51376104893022845e+00,3.34812398011780033e+02,3.62449945596305224e+03
1.22860000000000000e+05,6.33351175883517681e+03,1.11106176471419094e+00,1.37907043306365207e+01,2,7.28410107773136328e+00,3.35052368410464794e+02,3.62453518771723793e+03
1.22870000000000000e+05,6.34474743100107389e+03,1.13612613353627934e+00,1.36625094573728880e+01,2,7.05426843185436336e+00,3.35292048253546909e+02,3.62457064934450318e+03
1.22880000000000000e+05,6.35623491576560446e+03,1.16100369433160355e+00,1.35318005061655882e+01,2,6.82426882865236273e+00,3.35531446834522569e+02,3.62460583917201802e+03
1.22890000000000000e+05,6.36796671151520241e+03,1.18568227371416501e+00,1.33986198555093878e+01,2,6.59410796717231307e+00,3.35770573437506300e+02,3.62464075554579540e+03
1.22900000000000000e+05,6.37994838802047889e+03,1.21016716901838861e+00,1.32630100755693423e+01,2,6.36379152875285126e+00,3.36009437337432587e+02,3.62467539683079849e+03
1.22910000000000000e+05,6.39217020704283459e+03,1.23444802389139374e+00,1.31250138915027250e+01,2,6.13332517762187113e+00,3.36248047800267841e+02,3.62470976141105166e+03
1.22920000000000000e+05,6.40463515758429548e+03,1.25853005111066985e+00,1.29846741475807832e+01,2,5.90271456149384299e+00,3.36486414083231807e+02,3.62474384768972232e+03
1.22930000000000000e+05,6.41733993540137544e+03,1.28240545634005687e+00,1.28420337721521811e+01,2,5.67196531216682676e+00,3.36724545435028858e+02,3.62477765408924461e+03
1.22940000000000000e+05,6.43028403704527045e+03,1.30607545462308372e+00,1.26971357434843846e+01,2,5.44108304611920968e+00,3.36962451096088387e+02,3.62481117905139945e+03
1.22950000000000000e+05,6.44345955535293706e+03,1.32953893177358529e+00,1.25500230565172970e+01,2,5.21007336510612262e+00,3.37200140298813437e+02,3.62484442103741094e+03
1.22960000000000000e+05,6.45687241835624536e+03,1.35279220161883740e+00,1.24007386905587840e+01,2,4.97894185675553391e+00,3.37437622267838094e+02,3.62487737852805367e+03
1.22970000000000000e+05,6.47051554804394345e+03,1.37583346709231047e+00,1.22493255779484223e+01,2,4.74769409516406338e+00,3.37674906220292598e+02,3.62491005002371276e+03
1.22980000000000000e+05,6.48438908635173539e+03,1.39866512690498079e+00,1.20958265737126549e+01,2,4.51633564149242606e+00,3.37912001366075856e+02,3.62494243404451299e+03
1.22990000000000000e+05,6.49848832333194696e+03,1.42127856730138702e+00,1.19402844262304075e+01,2,4.28487204456059967e+00,3.38148916908135334e+02,3.62497452913037159e+03
1.23000000000000000e+05,6.51281443720359312e+03,1.44367585957649491e+00,1.17827417489257673e+01,2,4.05330884144265280e+00,3.38385662042753552e+02,3.62500633384110188e+03
1.23010000000000000e+05,6.52736318031593419e+03,1.46585895915936337e+00,1.16232409930004117e+01,2,3.82165155806126400e+00,3.38622245959841109e+02,3.62503784675648785e+03
1.23020000000000000e+05,6.54213103367285112e+03,1.48782244230211025e+00,1.14618244212157929e+01,2,3.58990570978193979e+00,3.38858677843235682e+02,3.62506906647637879e+03
1.23030000000000000e+05,6.55711666242117099e+03,1.50956655754878044e+00,1.12985340827319316e+01,2,3.35807680200691605e+00,3.39094966871006989e+02,3.62509999162073291e+03
1.23040000000000000e+05,6.57231825988586661e+03,1.53108835343251282e+00,1.11334117890068018e+01,2,3.12617033076878448e+00,3.39331122215766186e+02,3.62513062082972829e+03
1.23050000000000000e+05,6.58773885113669076e+03,1.55239168312337372e+00,1.09664990907580329e+01,2,2.89419178332381666e+00,3.39567153044981922e+02,3.62516095276383385e+03
1.23060000000000000e+05,6.60336822390417001e+03,1.57347359863429181e+00,1.07978372559848896e+01,2,2.66214663874502477e+00,3.39803068521299622e+02,3.62519098610384754e+03
1.23070000000000000e+05,6.61920706237674040e+03,1.59433197776209945e+00,1.06274672490477418e+01,2,2.43004036851496297e+00,3.40038877802865500e+02,3.62522071955101273e+03
1.23080000000000000e+05,6.63525136900615325e+03,1.61496377158207882e+00,1.04554297107981320e+01,2,2.19787843711826802e+00,3.40274590043654825e+02,3.62525015182705283e+03
1.23090000000000000e+05,6.65150371891016221e+03,1.63537218964437003e+00,1.02817649397519109e+01,2,1.96566630263398290e+00,3.40510214393803835e+02,3.62527928167424943e+03
1.23100000000000000e+05,6.66796074200196745e+03,1.65555365261591070e+00,1.01065128742947081e+01,2,1.73340941732764375e+00,3.40745759999944426e+02,3.62530810785549511e+03
1.26600000000000000e+05,6.64774840388184111e+03,-2.50794080022105614e+00,1.02347748460060757e+01,1,-3.22376110711730277e+01,9.94133377785961443e+01,3.61893218935006371e+03
1.26610000000000000e+05,6.62275354059171877e+03,-2.49108122922058728e+00,1.05019687410687919e+01,1,-3.20836104314705253e+01,9.97585725081216594e+01,3.61889108139890777e+03
1.26620000000000000e+05,6.59792771451258341e+03,-2.47395393218354487e+00,1.07687207700073859e+01,1,-3.19284353433981067e+01,1.00102503799914643e+02,3.61884999786433946e+03
1.26630000000000000e+05,6.57327417660635092e+03,-2.45655621124500767e+00,1.10349955957920187e+01,1,-3.17720967591873773e+01,1.00445134081921779e+02,3.61880893974306491e+03
1.26640000000000000e+05,6.54879774817016187e+03,-2.43888700226472066e+00,1.13007568201016273e+01,1,-3.16146056049430904e+01,1.00786466027712294e+02,3.61876790802771393e+03
1.26650000000000000e+05,6.52449811834653337e+03,-2.42094197008803702e+00,1.15659669665265810e+01,1,-3.14559727789774577e+01,1.01126502551106583e+02,3.61872690370689998e+03
